"","Author","Isbn","Ean","Title","Pub.Date","Medium","Ans.Code","Available","Consignment.On.Hand","Reserved.Stock","Sets.Made.Up","Prev.Edition.Isbn","Prev.Edition.Ean","Review","OQ.3","OQ.6","OQ.9","OQ.12","OQ.15"
"266","GRAY.PETER.O.","1429219475","9781429219471","PSYCHOLOGY.6E.C",2010-01-04,"CT","NR",0,1037,0,100,"716706172","9780716706175","Print review",70,323,517,405,475
"267","MOHRIG.JERRY.R.","1429219564","9781429219563","TECH.IN.ORG.CHEM.3E",2010-01-06,"PT","NR",0,14,0,0,"716769352","9780716769354","Print review",0,0,0,0,0
"268","NELSON.DAVID.L.","1429222638","9781429222631","PRIN.BIOCHEM.5E.LL",2008-01-25,"LL","NR",0,0,0,0,"",NA,"Print review",75,149,224,299,374
"269","KOKOSKA.STEPHEN","1429231963","9781429231961","INTRO.STATS.CLOTH",2009-12-11,"CT","OSI",0,0,0,92,"",NA,"Print review",46,-354,52,-185,-139
"270","PIERCE.BENJAMIN","142923251X","9781429232517","GENETICS.LL.4E",2010-12-10,"LL","NR",0,0,0,0,"",NA,"Print review",233,465,698,931,1164
"271","BERGER.KATHLEEN.STASSEN","1429234458","9781429234450","DEV.PERS.THRU.LIFESPAN.8E.LL",2011-02-04,"LL","NR",2,0,0,6,"071676072X","9780716760726","Print review",0,0,0,0,0
"272","MOORE.DAVID.S.","1429240121","9781429240123","PBS.2E.LL.CDR",2009-03-30,"LL","NR",0,0,0,0,"",NA,"Print review",-10,-35,-73,-125,-191
"273","GRIGGS.RICHARD.A.","1429240792","9781429240796","PSYCH.CONCISE.INTRO.3E",2011-02-01,"CT","PC",0,0,0,0,"1429200820","9781429200820","Print review",0,0,0,0,0
"274","KRUGMAN.PAUL","1429242671","9781429242677","MICROECON.2E.LL",2009-05-19,"LL","NR",0,136,0,0,"",NA,"Print review",105,211,316,421,527
"275","KRUGMAN.PAUL","1429251638","9781429251631","ECONOMICS.3E",2012-05-29,"CT","OSI",3,23,0,20,"716771586","9780716771586","Print review",519,641,1215,1521,2039
"276","SOWDER.JUDITH","142925257X","9781429252577","SSM.RECONEPT.MATH",2009-12-29,"PT","NR",0,0,0,0,"",NA,"Print review",333,430,712,897,1230
"277","DOMOSH.MONA","1429253533","9781429253536","HUMAN.MOSAIC.12E.LL",2011-11-18,"LL","OSI",49,0,0,92,"1429229128","9781429229128","Print review",1572,3145,4717,6290,7862
"278","SHUSTER.MICHELE","1429254718","9781429254717","SCI.AM.BIO.CHANGING.WORLD.LL",2011-02-15,"LL","NR",0,0,0,0,"",NA,"Print review",28,56,84,111,139
"279","COMINS.NEIL.F.","1429255196","9781429255196","DISCOVERING.ESSENTIAL.UNIVERSE.5E",2012-01-04,"PT","NR",61,0,0,0,"1429217979","9781429217972","Print review",188,375,563,751,939
"280","GUINN.DENISE","1429262400","9781429262408","ESS.OF.GOB.1E.LL",2010-06-01,"LL","NR",0,0,0,0,"",NA,"Print review",433,233,-143,355,788
"281","STONE.GERALD","1429263318","9781429263313","CORE.MACRO.2E.LL",2011-01-01,"LL","NR",0,0,0,0,"",NA,"Print review",117,233,350,467,583
"282","SOWDER.JUDITH","1429264837","9781429264839","RECONCEPTUALIZING.MATHEMATICS.LL",2010-04-20,"LL","NR",0,0,0,0,"",NA,"Print review",596,340,961,824,1420
"283","MYERS.DAVID.G.","1429266791","9781429266796","EXP.PYSCH.9E.C",2012-11-02,"CT","OSI",0,5,0,0,"1429216352","9781429216357","Print review",599,1198,1796,2395,2994
"284","MOORE.DAVID.S.","1429273712","9781429273718","SG.SM.IPS.7E",2011-03-02,"SG","NR",0,4,0,0,"",NA,"Print review",329,657,986,1314,1643
"285","COMER.RONALD.J.","1429282541","9781429282543","ABNORM.PSYCH.8E",2012-02-01,"CT","NR",0,0,0,0,"142921631X","9781429216319","Print review",0,0,0,0,0
"286","MOORE.DAVID.S.","1429283408","9781429283403","IPS.7E.LL",2010-11-19,"LL","OSI",0,0,0,58,"",NA,"Print review",0,0,0,0,0
"287","NOLAN.SUSAN","1429287187","9781429287180","STATS.BEH.SCI.2E.LL",2011-02-15,"LL","NR",0,0,0,0,"",NA,"Print review",27,358,283,350,377
"288","KRUGMAN.PAUL","1429289759","9781429289757","ECON.IN.MOD.2E.LL",2011-05-06,"LL","NR",0,0,0,0,"",NA,"Print review",344,424,968,865,1209
"289","PIERCE.BENJAMIN.A.","1429295163","9781429295161","GENETIC.ESSENTIALS.2E",2012-08-27,"PT","OSI",0,101,0,91,"1429230401","9781429230407","Print review",1240,1655,244,529,1768
"290","MYERS.DAVID.G.","1429299851","9781429299855","PSYCH.10E.LL",2011-12-19,"LL","OSI",0,0,0,77,"142923914X","9781429239141","Print review",19,38,57,77,96
"291","BERGER.KATHLEEN","1464128928","9781464128929","INVIT.LIFESPAN.2E.LL",2013-04-05,"LL","NR",78,0,0,46,"142925677X","9781429256773","Print review",271,542,813,1084,1355
"292","SCHACTER.DANIEL.L.","1464135541","9781464135545","CP.USASK.121.PSYCH.2E.LL",2012-06-20,"CU","NR",0,0,0,0,"",NA,"Print review",-2587,-4707,-3567,-4245,-6831
"293","HOUSTON.BRANT","312248237","9780312248239","INVESTIGATIVE.REPORTERS.HBK.4E",2002-02-15,"CT","NR",0,0,0,0,"",NA,"Print review",793,1585,2378,3170,3963
"294","MURFIN","312259107","9780312259105","BEDFORD.GLOSSARY.CRIT..LIT.2E",2003-01-21,"PT","NR",0,0,0,0,"",NA,"Print review",1702,3404,5106,6808,8510
"295","COMER.RONALD.J.","146410218X","9781464102189","ABNORMAL.PSYCHOLOGY.LL.8E",2012-02-01,"LL","NR",0,0,0,4,"",NA,"Print review",265,531,796,1062,1327
"296","KRUGMAN.PAUL","1464103828","9781464103827","ECONOMICS.LL.3E",2012-05-29,"LL","OSI",1,0,0,1,"",NA,"Print review",6,12,17,23,29
"297","MORRIS.JAMES.R.","1464104271","9781464104275","BIOLOGY.HOW.LIFE.WORKS.VOL1",2013-01-09,"PT","OSI",5,0,0,101,"",NA,"Print review",66,133,199,266,332
"298","KOKOSKA.STEPHEN","1464105251","9781464105258","INTRO.STATS.LL.CDROM",2011-07-30,"CU","NR",0,0,0,0,"",NA,"Print review",23,45,68,91,113
"299","HOCKENBURY.DON.H.","146410932X","9781464109324","DISCO.PSYCH.6E.LL",2012-11-16,"LL","OSI",19,0,0,49,"1429256761","9781429256766","Print review",0,0,0,0,0
